Election Year ,PercentVAP_BTO,PercentVAP_HTO,PercentVAP_WTO,PercentVAP_ATO,PercentVAP_FTO
2020,44.4,34.4,49.7,42.4,50.2
2018,29.6,23.1,30.9,20.2,32.8
2016,40.2,27.2,41.1,25.2,42.4
2014,18.4,10.2,16,8.4,17.2
2012,45.9,26.7,37.8,20.1,41.3
2010,22.5,12.2,19.7,9.5,20.6
2008,52.3,27.4,43.8,27.8,47.7
2006,19.2,10.2,20.7,10.1,21.2
2004,44.1,20.4,42.6,23.5,44.9
2002,19.3,8.1,17.4,10,18.6
2000,33.9,15.4,33,15.9,34.6
1998,15.6,9,17.2,9.7,17.6
1996,32.4,15.1,33.3,19.2,35
1994,17.4,10.1,21.1,10.6,21.5
1992,36.6,17.6,45.4,NA,45.1
1990,20.2,8.7,20.8,NA,21
1988,35,16.8,37,NA,38.2
1986,25.1,11.5,21.6,NA,22.5
1984,40.6,21.9,41.6,NA,42.8
1982,25.5,14.2,25,NA,24.5
1980,30.1,15.9,41.8,NA,41.2
1978,20.1,11.4,24.2,NA,23.9
1976,27.9,21.8,44.7,NA,43.4
1974,16.1,13.3,25.2,NA,23.1
1972,34.7,30.9,51.9,NA,50.4
1970,22.4,NA,31.5,NA,30
1968,38.9,NA,52.8,NA,50.6
1966,21.9,NA,32.6,NA,30.3
1964,44.2,NA,52.1,NA,50.5